repetition,model_type,lead_time,cycle,activation,num_layers,neurons,dropout,loss_value,val_mae,val_mae12,val_me,val_me12,val_mape,mae_2021,mae12_2021,me_2021,me12_2021,mape_2021,metrics,timestamp,status,duration_sec
1.0,MAPE,3.0,0.0,relu,1.0,16.0,0.0,1.415727972984314,0.2885294258594513,0.3265756666660309,0.0104746987188938,-0.019099142611176,1.415727972984314,0.3240258991718292,0.3217998743057251,-0.0184478152303753,-0.0587569384292822,1.928810477256775,"{""loss"": 1.636850118637085, ""mape"": 1.636850118637085, ""mae"": 0.33131107687950134, ""val_loss"": 1.415727972984314, ""val_mape"": 1.415727972984314, ""val_mae"": 0.2885294258594513, ""lr"": 1.0000000656873453e-05, ""val_mae12"": 0.3265756666660309, ""val_me"": 0.01047469871889384, ""val_me12"": -0.01909914261117605, ""mape_2021"": 1.928810477256775, ""mae_2021"": 0.3240258991718292, ""mae12_2021"": 0.3217998743057251, ""me_2021"": -0.018447815230375395, ""me12_2021"": -0.05875693842928227, ""epochs_trained"": 3751}",2026-07-04T00:04:52.899172,completed,162.0
3.0,MAPE,3.0,0.0,relu,1.0,16.0,0.0,1.5065274238586426,0.3133722841739654,0.3274601697921753,0.0082405276560255,-0.0038780253116046,1.5065274238586426,0.3385458886623382,0.3239296376705169,-0.0184728567678492,-0.0429912924396169,2.011232376098633,"{""loss"": 1.7033941745758057, ""mape"": 1.7033941745758057, ""mae"": 0.34807804226875305, ""val_loss"": 1.5065274238586426, ""val_mape"": 1.5065274238586426, ""val_mae"": 0.31337228417396545, ""lr"": 1.0000000656873453e-05, ""val_mae12"": 0.3274601697921753, ""val_me"": 0.008240527656025547, ""val_me12"": -0.0038780253116046724, ""mape_2021"": 2.011232376098633, ""mae_2021"": 0.33854588866233826, ""mae12_2021"": 0.32392963767051697, ""me_2021"": -0.01847285676784922, ""me12_2021"": -0.042991292439616996, ""epochs_trained"": 3035}",2026-07-04T07:23:33.492001,completed,259.9
3.0,MAPE,3.0,0.0,selu,3.0,256.0,0.0,1.2858644723892212,0.2526231706142425,0.3276340067386627,0.0112484339498345,-0.0477602183236469,1.2858644723892212,0.2589064836502075,0.396660566329956,0.039358139195775,-0.1610295746950176,1.740932822227478,"{""loss"": 1.261478066444397, ""mape"": 1.261478066444397, ""mae"": 0.24525710940361023, ""val_loss"": 1.2858644723892212, ""val_mape"": 1.2858644723892212, ""val_mae"": 0.25262317061424255, ""lr"": 9.999999747378752e-06, ""val_mae12"": 0.3276340067386627, ""val_me"": 0.011248433949834503, ""val_me12"": -0.04776021832364693, ""mape_2021"": 1.740932822227478, ""mae_2021"": 0.2589064836502075, ""mae12_2021"": 0.39666056632995605, ""me_2021"": 0.03935813919577504, ""me12_2021"": -0.16102957469501766, ""epochs_trained"": 1285}",2026-07-04T08:03:45.086304,completed,126.0
3.0,MAPE,3.0,0.0,selu,2.0,256.0,0.0,1.2535721063613892,0.2464796602725982,0.3290476202964782,0.0067104597847553,-0.0465203107041575,1.2535721063613892,0.2471400648355484,0.3523267805576324,0.0315659929135269,-0.0782702092900961,1.611604928970337,"{""loss"": 1.24202561378479, ""mape"": 1.24202561378479, ""mae"": 0.2418329417705536, ""val_loss"": 1.2535721063613892, ""val_mape"": 1.2535721063613892, ""val_mae"": 0.24647966027259827, ""lr"": 9.999999747378752e-06, ""val_mae12"": 0.32904762029647827, ""val_me"": 0.006710459784755324, ""val_me12"": -0.04652031070415759, ""mape_2021"": 1.611604928970337, ""mae_2021"": 0.2471400648355484, ""mae12_2021"": 0.35232678055763245, ""me_2021"": 0.03156599291352695, ""me12_2021"": -0.07827020929009611, ""epochs_trained"": 1877}",2026-07-04T08:01:20.658562,completed,121.5
1.0,MAPE,3.0,0.0,selu,3.0,64.0,0.0,1.325564742088318,0.2630541026592254,0.3294593393802643,0.0414861618177813,-0.0435461711585997,1.325564742088318,0.2747032940387726,0.3666951060295105,0.0594409884843129,-0.1134298988109612,1.7950501441955566,"{""loss"": 1.3318471908569336, ""mape"": 1.3318471908569336, ""mae"": 0.2588726580142975, ""val_loss"": 1.3255647420883179, ""val_mape"": 1.3255647420883179, ""val_mae"": 0.26305410265922546, ""lr"": 9.999999747378752e-06, ""val_mae12"": 0.3294593393802643, ""val_me"": 0.04148616181778131, ""val_me12"": -0.04354617115859974, ""mape_2021"": 1.7950501441955566, ""mae_2021"": 0.2747032940387726, ""mae12_2021"": 0.3666951060295105, ""me_2021"": 0.05944098848431299, ""me12_2021"": -0.11342989881096123, ""epochs_trained"": 2430}",2026-07-04T00:42:56.657320,completed,260.4
2.0,MAPE,3.0,0.0,selu,1.0,64.0,0.0,1.794428467750549,0.3856467604637146,0.3327260911464691,-0.0053100350676896,-0.0175863376684428,1.794428467750549,0.4340312480926513,0.3380871117115021,0.0050170929641254,0.021413798943222,2.2647316455841064,"{""loss"": 1.9879261255264282, ""mape"": 1.9879261255264282, ""mae"": 0.4245589077472687, ""val_loss"": 1.7944284677505493, ""val_mape"": 1.7944284677505493, ""val_mae"": 0.3856467604637146, ""lr"": 1.0000000656873453e-05, ""val_mae12"": 0.3327260911464691, ""val_me"": -0.005310035067689651, ""val_me12"": -0.017586337668442857, ""mape_2021"": 2.2647316455841064, ""mae_2021"": 0.43403124809265137, ""mae12_2021"": 0.3380871117115021, ""me_2021"": 0.005017092964125455, ""me12_2021"": 0.021413798943222068, ""epochs_trained"": 5976}",2026-07-04T04:29:56.865201,completed,294.8
3.0,MAPE,3.0,0.0,leaky_relu,1.0,256.0,0.0,1.4723472595214844,0.3024199903011322,0.3336860537528991,0.0408877275805203,-0.0633723481958095,1.4723472595214844,0.327838122844696,0.3284409046173095,0.0327269229665514,-0.1159729819098507,2.0085577964782715,"{""loss"": 1.6161609888076782, ""mape"": 1.6161609888076782, ""mae"": 0.3306620419025421, ""val_loss"": 1.4723472595214844, ""val_mape"": 1.4723472595214844, ""val_mae"": 0.3024199903011322, ""lr"": 1.0000000656873453e-05, ""val_mae12"": 0.33368605375289917, ""val_me"": 0.04088772758052031, ""val_me12"": -0.06337234819580952, ""mape_2021"": 2.0085577964782715, ""mae_2021"": 0.32783812284469604, ""mae12_2021"": 0.32844090461730957, ""me_2021"": 0.0327269229665514, ""me12_2021"": -0.11597298190985074, ""epochs_trained"": 2018}",2026-07-04T07:45:27.536582,completed,118.7
1.0,MAPE,3.0,0.0,selu,3.0,256.0,0.0,1.2613506317138672,0.2457895278930664,0.3369337618350982,0.0168340373700663,-0.0610688768584032,1.2613506317138672,0.2550453245639801,0.4138987958431244,0.0490194620283105,-0.1657144446624876,1.715853929519653,"{""loss"": 1.2504208087921143, ""mape"": 1.2504208087921143, ""mae"": 0.24168528616428375, ""val_loss"": 1.2613506317138672, ""val_mape"": 1.2613506317138672, ""val_mae"": 0.2457895278930664, ""lr"": 9.999999747378752e-06, ""val_mae12"": 0.33693376183509827, ""val_me"": 0.0168340373700663, ""val_me12"": -0.061068876858403225, ""mape_2021"": 1.7158539295196533, ""mae_2021"": 0.2550453245639801, ""mae12_2021"": 0.4138987958431244, ""me_2021"": 0.049019462028310534, ""me12_2021"": -0.16571444466248766, ""epochs_trained"": 1417}",2026-07-04T00:42:32.785799,completed,209.9
1.0,MAPE,3.0,0.0,leaky_relu,1.0,32.0,0.0,1.475570559501648,0.3043849170207977,0.3372508883476257,-0.0181148807976892,-0.0176212489022602,1.475570559501648,0.2990715503692627,0.3301024138927459,0.0085006673381036,-0.0783245595422558,1.8478822708129885,"{""loss"": 1.5233097076416016, ""mape"": 1.5233097076416016, ""mae"": 0.3028014302253723, ""val_loss"": 1.475570559501648, ""val_mape"": 1.475570559501648, ""val_mae"": 0.30438491702079773, ""lr"": 1.0000000656873453e-05, ""val_mae12"": 0.33725088834762573, ""val_me"": -0.018114880797689203, ""val_me12"": -0.01762124890226021, ""mape_2021"": 1.8478822708129883, ""mae_2021"": 0.2990715503692627, ""mae12_2021"": 0.33010241389274597, ""me_2021"": 0.008500667338103618, ""me12_2021"": -0.07832455954225587, ""epochs_trained"": 2642}",2026-07-04T00:21:08.378142,completed,109.1
1.0,MAPE,3.0,0.0,selu,3.0,128.0,0.0,1.3121484518051147,0.2582818567752838,0.3375807404518127,0.0236718458266269,-0.0563955728539293,1.3121484518051147,0.2709815800189972,0.4138332009315491,0.0561688739416882,-0.1578045566402878,1.8105980157852173,"{""loss"": 1.292546033859253, ""mape"": 1.292546033859253, ""mae"": 0.2511439025402069, ""val_loss"": 1.3121484518051147, ""val_mape"": 1.3121484518051147, ""val_mae"": 0.2582818567752838, ""lr"": 1.0000000656873453e-05, ""val_mae12"": 0.33758074045181274, ""val_me"": 0.02367184582662698, ""val_me12"": -0.05639557285392932, ""mape_2021"": 1.8105980157852173, ""mae_2021"": 0.2709815800189972, ""mae12_2021"": 0.4138332009315491, ""me_2021"": 0.0561688739416882, ""me12_2021"": -0.15780455664028784, ""epochs_trained"": 1866}",2026-07-04T00:42:37.577553,completed,241.3
1.0,MAPE,3.0,1.0,leaky_relu,1.0,16.0,0.0,1.497286081314087,0.3193594515323639,0.3200746774673462,0.0381613303755585,-0.0298731981693016,1.497286081314087,0.2949224710464477,0.3187650442123413,0.0295992634319513,-0.0235631772395036,1.838455080986023,"{""loss"": 1.37556791305542, ""mape"": 1.37556791305542, ""mae"": 0.27540716528892517, ""val_loss"": 1.497286081314087, ""val_mape"": 1.497286081314087, ""val_mae"": 0.3193594515323639, ""lr"": 1.0000000656873453e-05, ""val_mae12"": 0.3200746774673462, ""val_me"": 0.03816133037555853, ""val_me12"": -0.029873198169301642, ""mape_2021"": 1.838455080986023, ""mae_2021"": 0.29492247104644775, ""mae12_2021"": 0.3187650442123413, ""me_2021"": 0.029599263431951343, ""me12_2021"": -0.023563177239503626, ""epochs_trained"": 7277}",2026-07-04T01:12:14.570217,completed,499.5
2.0,MAPE,3.0,1.0,selu,1.0,256.0,0.0,1.5645452737808228,0.3298409581184387,0.3246417939662933,0.0062065922474101,-0.0435603590869552,1.5645452737808228,0.3077417612075805,0.3332716822624206,0.0369174712640763,0.0662476771364106,1.755322813987732,"{""loss"": 1.4342219829559326, ""mape"": 1.4342219829559326, ""mae"": 0.2910897731781006, ""val_loss"": 1.5645452737808228, ""val_mape"": 1.5645452737808228, ""val_mae"": 0.3298409581184387, ""lr"": 1.0000000656873453e-05, ""val_mae12"": 0.32464179396629333, ""val_me"": 0.006206592247410115, ""val_me12"": -0.0435603590869552, ""mape_2021"": 1.755322813987732, ""mae_2021"": 0.30774176120758057, ""mae12_2021"": 0.33327168226242065, ""me_2021"": 0.03691747126407633, ""me12_2021"": 0.06624767713641067, ""epochs_trained"": 1439}",2026-07-04T05:30:25.423593,completed,181.1
3.0,MAPE,3.0,1.0,relu,1.0,32.0,0.0,1.3777786493301392,0.2810809016227722,0.3259758353233337,0.0576006773163,-0.04644748808803,1.3777786493301392,0.2490412145853042,0.3461485207080841,0.0295034190125146,-0.0404282940940123,1.683647871017456,"{""loss"": 1.217511534690857, ""mape"": 1.217511534690857, ""mae"": 0.234859898686409, ""val_loss"": 1.3777786493301392, ""val_mape"": 1.3777786493301392, ""val_mae"": 0.2810809016227722, ""lr"": 0.00010000000474974513, ""val_mae12"": 0.32597583532333374, ""val_me"": 0.05760067731630009, ""val_me12"": -0.046447488088030064, ""mape_2021"": 1.683647871017456, ""mae_2021"": 0.24904121458530426, ""mae12_2021"": 0.3461485207080841, ""me_2021"": 0.029503419012514694, ""me12_2021"": -0.04042829409401234, ""epochs_trained"": 3457}",2026-07-04T08:06:18.331989,completed,145.9
1.0,MAPE,3.0,1.0,selu,1.0,256.0,0.0,1.6561135053634644,0.3515134453773498,0.3280704021453857,0.0020067441684603,-0.0488327287638748,1.6561135053634644,0.3264515697956085,0.3508881330490112,0.0445288378176047,0.0775244956723567,1.836775779724121,"{""loss"": 1.51793372631073, ""mape"": 1.51793372631073, ""mae"": 0.31097257137298584, ""val_loss"": 1.6561135053634644, ""val_mape"": 1.6561135053634644, ""val_mae"": 0.35151344537734985, ""lr"": 1.0000000656873453e-05, ""val_mae12"": 0.32807040214538574, ""val_me"": 0.0020067441684603806, ""val_me12"": -0.04883272876387489, ""mape_2021"": 1.836775779724121, ""mae_2021"": 0.3264515697956085, ""mae12_2021"": 0.35088813304901123, ""me_2021"": 0.044528837817604756, ""me12_2021"": 0.0775244956723567, ""epochs_trained"": 1184}",2026-07-04T01:40:42.268060,completed,112.5
