lead_time,cycle,neurons,dropout,activation,num_layers,val_mae12,n_reps
6.0,1.0,64.0,0.0,leaky_relu,1.0,0.5399611592292786,3
6.0,1.0,128.0,0.0,relu,2.0,0.5467609961827596,3
6.0,1.0,256.0,0.0,selu,2.0,0.5498309135437012,3
6.0,1.0,64.0,0.0,leaky_relu,3.0,0.5505955020586649,3
6.0,1.0,64.0,0.0,selu,2.0,0.5520891149838766,3
6.0,1.0,64.0,0.0,selu,1.0,0.553038497765859,3
6.0,1.0,32.0,0.0,relu,2.0,0.5570027430852255,3
6.0,2.0,256.0,0.0,selu,3.0,0.4461783170700073,3
6.0,2.0,256.0,0.0,selu,2.0,0.44631410638491315,3
6.0,2.0,256.0,0.0,selu,1.0,0.46274174253145856,3
6.0,2.0,16.0,0.0,selu,2.0,0.46532976627349854,3
6.0,2.0,256.0,0.0,leaky_relu,2.0,0.4843900501728058,3
6.0,2.0,32.0,0.0,selu,2.0,0.4927291174729665,3
6.0,2.0,16.0,0.0,selu,3.0,0.5009743173917135,3
6.0,2.0,128.0,0.0,selu,2.0,0.5017333229382833,3
6.0,2.0,128.0,0.0,selu,1.0,0.5031648774941763,3
6.0,2.0,32.0,0.0,selu,3.0,0.50418092807134,3
6.0,2.0,64.0,0.0,selu,2.0,0.5065916379292806,3
6.0,2.0,256.0,0.0,relu,2.0,0.5144217809041342,3
6.0,2.0,64.0,0.0,leaky_relu,3.0,0.5182513991991679,3
6.0,2.0,64.0,0.0,selu,1.0,0.5231253902117411,3
6.0,2.0,64.0,0.0,selu,3.0,0.5273886223634084,3
6.0,2.0,128.0,0.0,leaky_relu,3.0,0.5357861121495565,3
6.0,2.0,128.0,0.0,selu,3.0,0.5477064649264017,3
6.0,2.0,256.0,0.0,leaky_relu,3.0,0.5702754656473795,3
6.0,2.0,64.0,0.0,relu,3.0,0.615693191687266,3
6.0,2.0,128.0,0.0,relu,3.0,0.6415744622548422,3
6.0,3.0,256.0,0.0,relu,2.0,0.6256454586982727,3
6.0,3.0,256.0,0.0,leaky_relu,2.0,0.6287955244382223,3
6.0,3.0,256.0,0.0,leaky_relu,3.0,0.6421274542808533,3
6.0,3.0,128.0,0.0,relu,2.0,0.644167979558309,3
6.0,3.0,256.0,0.0,selu,1.0,0.6443848212560018,3
6.0,3.0,256.0,0.0,leaky_relu,1.0,0.6601171294848124,3
6.0,3.0,256.0,0.0,relu,1.0,0.6605146129926046,3
6.0,3.0,128.0,0.0,leaky_relu,3.0,0.6634201010068258,3
6.0,3.0,128.0,0.0,leaky_relu,2.0,0.6721504330635071,3
6.0,3.0,256.0,0.0,selu,2.0,0.6724895437558492,3
6.0,3.0,256.0,0.05,relu,1.0,0.6744540532430013,3
6.0,3.0,64.0,0.0,leaky_relu,1.0,0.6758850614229838,3
6.0,3.0,128.0,0.0,leaky_relu,1.0,0.6775418917338053,3
6.0,3.0,256.0,0.1,relu,1.0,0.6778962214787801,3
6.0,3.0,32.0,0.0,relu,1.0,0.6795547405878702,3
6.0,3.0,128.0,0.0,relu,1.0,0.686049222946167,3
6.0,3.0,128.0,0.05,relu,1.0,0.6868248581886292,3
6.0,3.0,64.0,0.0,leaky_relu,2.0,0.686928391456604,3
6.0,3.0,64.0,0.05,leaky_relu,1.0,0.6869720419247946,3
6.0,3.0,256.0,0.05,leaky_relu,1.0,0.688795288403829,3
12.0,0.0,256.0,0.0,selu,3.0,0.5522248347600301,3
12.0,0.0,256.0,0.0,selu,1.0,0.5646199782689413,3
12.0,0.0,16.0,0.0,selu,3.0,0.5700141191482544,3
12.0,0.0,64.0,0.0,selu,2.0,0.5761256019274393,3
12.0,0.0,256.0,0.0,selu,2.0,0.5836937626202902,3
12.0,0.0,128.0,0.0,selu,3.0,0.5879926085472107,3
12.0,0.0,16.0,0.0,selu,1.0,0.594180146853129,3
12.0,0.0,64.0,0.0,selu,3.0,0.5964983304341634,3
12.0,0.0,128.0,0.0,selu,2.0,0.600631833076477,3
12.0,0.0,128.0,0.0,selu,1.0,0.6009220480918884,3
12.0,0.0,32.0,0.0,selu,1.0,0.6095381776491801,3
12.0,0.0,64.0,0.0,selu,1.0,0.6134899059931437,3
12.0,0.0,32.0,0.0,selu,3.0,0.6144070029258728,3
12.0,0.0,256.0,0.1,relu,2.0,0.614508589108785,3
12.0,0.0,128.0,0.05,relu,2.0,0.615820030371348,3
12.0,0.0,256.0,0.05,relu,2.0,0.6171649297078451,3
12.0,0.0,128.0,0.0,relu,2.0,0.6183816393216451,3
12.0,0.0,256.0,0.0,relu,2.0,0.6191443006197611,3
12.0,0.0,128.0,0.1,relu,2.0,0.6288297573725382,3
12.0,0.0,64.0,0.0,relu,2.0,0.6297046740849813,3
12.0,1.0,16.0,0.0,relu,1.0,0.6292563676834106,3
12.0,1.0,32.0,0.0,leaky_relu,1.0,0.6327954332033793,3
12.0,1.0,128.0,0.0,selu,2.0,0.643049975236257,3
12.0,1.0,64.0,0.0,selu,2.0,0.6444680293401083,3
12.0,1.0,128.0,0.0,relu,1.0,0.6473712722460429,3
12.0,1.0,16.0,0.0,leaky_relu,1.0,0.6488950451215109,3
12.0,1.0,256.0,0.0,selu,3.0,0.6518558263778687,3
12.0,1.0,256.0,0.0,selu,1.0,0.6521538297335306,3
12.0,1.0,32.0,0.3,leaky_relu,1.0,0.6539586583773295,3
12.0,1.0,128.0,0.0,selu,1.0,0.6544821659723917,3
12.0,1.0,32.0,0.0,selu,2.0,0.6555027564366659,3
12.0,1.0,256.0,0.0,selu,2.0,0.6574167807896932,3
12.0,1.0,32.0,0.0,selu,3.0,0.6619636019070944,3
12.0,1.0,128.0,0.0,selu,3.0,0.6629475156466166,3
12.0,1.0,64.0,0.0,selu,3.0,0.6651807824770609,3
12.0,1.0,16.0,0.0,selu,2.0,0.6744571725527445,3
12.0,1.0,64.0,0.0,relu,2.0,0.6761520107587179,3
12.0,1.0,128.0,0.0,relu,2.0,0.6803934375445048,3
12.0,1.0,64.0,0.0,relu,1.0,0.6849821209907532,3
12.0,1.0,256.0,0.0,relu,1.0,0.6849997838338217,3
12.0,2.0,256.0,0.0,selu,2.0,0.5953093767166138,3
12.0,2.0,256.0,0.0,leaky_relu,2.0,0.6424086689949036,3
12.0,2.0,64.0,0.0,selu,2.0,0.6594636638959249,3
12.0,2.0,64.0,0.0,leaky_relu,3.0,0.6632895668347677,3
12.0,2.0,256.0,0.0,selu,3.0,0.6686554948488871,3
12.0,2.0,256.0,0.0,relu,2.0,0.6696480313936869,3
12.0,2.0,128.0,0.0,selu,2.0,0.6709174513816833,3
12.0,2.0,256.0,0.0,leaky_relu,3.0,0.6749584476153055,3
12.0,2.0,16.0,0.0,selu,3.0,0.6750374039014181,3
12.0,2.0,256.0,0.0,selu,1.0,0.6765760978062948,3
12.0,2.0,128.0,0.0,selu,3.0,0.6873642603556315,3
12.0,2.0,64.0,0.0,selu,3.0,0.6875515778859457,3
12.0,2.0,32.0,0.0,selu,2.0,0.6967969139417013,3
12.0,2.0,32.0,0.0,selu,3.0,0.6976003845532736,3
12.0,2.0,128.0,0.0,leaky_relu,3.0,0.7013770143191019,3
12.0,2.0,64.0,0.0,selu,1.0,0.7247961759567261,3
12.0,2.0,128.0,0.0,relu,3.0,0.7357409596443176,3
12.0,2.0,128.0,0.0,selu,1.0,0.7564267118771871,3
12.0,2.0,16.0,0.3,leaky_relu,1.0,0.7948553562164307,3
12.0,2.0,32.0,0.3,leaky_relu,1.0,0.8603894710540771,3
12.0,3.0,128.0,0.05,leaky_relu,1.0,0.7367137670516968,3
12.0,3.0,256.0,0.1,relu,1.0,0.7388506929079691,3
12.0,3.0,256.0,0.0,leaky_relu,1.0,0.7447620232899984,3
12.0,3.0,256.0,0.05,relu,1.0,0.755160907904307,3
12.0,3.0,256.0,0.0,relu,2.0,0.7554880777994791,3
12.0,3.0,256.0,0.0,leaky_relu,2.0,0.7590413490931193,3
12.0,3.0,128.0,0.1,leaky_relu,1.0,0.7662508885065714,3
12.0,3.0,64.0,0.05,relu,1.0,0.7666459878285726,3
12.0,3.0,64.0,0.0,relu,1.0,0.7693157394727071,3
12.0,3.0,256.0,0.0,leaky_relu,3.0,0.7702744205792745,3
12.0,3.0,128.0,0.05,relu,1.0,0.7764711976051331,3
12.0,3.0,256.0,0.05,leaky_relu,1.0,0.7792792717615763,3
12.0,3.0,128.0,0.0,leaky_relu,1.0,0.7817237774531046,3
12.0,3.0,128.0,0.0,leaky_relu,2.0,0.7927477558453878,3
12.0,3.0,256.0,0.0,selu,1.0,0.7957529624303182,3
12.0,3.0,256.0,0.1,leaky_relu,1.0,0.8009425004323324,3
12.0,3.0,128.0,0.0,relu,1.0,0.8013633886973063,3
12.0,3.0,32.0,0.05,leaky_relu,1.0,0.8037792841593424,3
12.0,3.0,32.0,0.05,relu,1.0,0.8052366574605306,3
12.0,3.0,64.0,0.1,relu,1.0,0.8110825816790262,3
