dateAndTime,packeryATP_lighthouse,npsbiWTP_lighthouse
06-08-2011 1400,28.1,27.8
06-08-2011 1500,28.2,28.2
06-08-2011 1600,28.7,28.7
06-08-2011 1700,28.7,29.2
06-08-2011 1800,29.2,29.8
06-08-2011 1900,29,30.4
06-08-2011 2000,29.7,30.8
06-08-2011 2100,28.7,31.2
06-08-2011 2200,29,31.3
06-08-2011 2300,28.9,31.3
06-09-2011 0000,28.5,31
06-09-2011 0100,28.3,30.6
06-09-2011 0200,27.9,30.1
06-09-2011 0300,27.8,29.8
06-09-2011 0400,27.8,29.4
06-09-2011 0500,27.6,29.1
06-09-2011 0600,27.3,28.8
06-09-2011 0700,27.2,28.4
06-09-2011 0800,27.1,28.1
06-09-2011 0900,27.1,27.8
06-09-2011 1000,27,27.7
06-09-2011 1100,27,27.5
06-09-2011 1200,27.1,27.4
06-09-2011 1300,27.7,27.4
06-09-2011 1400,28.1,27.8
06-09-2011 1500,28.6,30.7
06-09-2011 1600,28.4,31
06-09-2011 1700,28.5,29.3
06-09-2011 1800,28.8,29.8
06-09-2011 1900,29.2,30.4
06-09-2011 2000,28.7,30.9
06-09-2011 2100,29,31.3
06-09-2011 2200,28.4,31.5
06-09-2011 2300,28.3,31.5
06-10-2011 0000,28.5,31.2
06-10-2011 0100,28.1,30.8
06-10-2011 0200,28,30.3
06-10-2011 0300,27.8,30
06-10-2011 0400,27.8,29.4
06-10-2011 0500,27.7,29.1
06-10-2011 0600,27.6,28.9
06-10-2011 0700,27.3,28.8
06-10-2011 0800,27.3,28.6
06-10-2011 0900,27.2,28.3
06-10-2011 1000,27.2,28.1
06-10-2011 1100,27,28.2
06-10-2011 1200,27.1,27.8
06-10-2011 1300,27.8,27.8
06-10-2011 1400,28.2,27.9
06-10-2011 1500,28.4,28.2
06-10-2011 1600,28.5,28.8
06-10-2011 1700,29.1,29.3
06-10-2011 1800,29.2,29.9
06-10-2011 1900,28.5,30.4
06-10-2011 2000,28.6,31
06-10-2011 2100,28.6,31.3
06-10-2011 2200,28.7,31.4
06-10-2011 2300,28.9,31
06-11-2011 0000,28.7,30.8
06-11-2011 0100,28.4,30.5
06-11-2011 0200,28.2,30
06-11-2011 0300,28.1,29.7
06-11-2011 0400,27.9,29.5
06-11-2011 0500,27.9,29.2
06-11-2011 0600,27.6,28.9
06-11-2011 0700,27.3,28.5
06-11-2011 0800,27.3,28.1
06-11-2011 0900,27.3,28
06-11-2011 1000,27.1,27.9
06-11-2011 1100,27,27.9
06-11-2011 1200,27.4,28
06-11-2011 1300,28,28
06-11-2011 1400,28.1,28.2
06-11-2011 1500,28.4,28.3
06-11-2011 1600,28.8,28.9
06-11-2011 1700,28.7,29.2
06-11-2011 1800,29.9,29.7
06-11-2011 1900,28.5,29.9
06-11-2011 2000,28.7,30.3
06-11-2011 2100,28.8,30.5
06-11-2011 2200,29,30.7
06-11-2011 2300,29,30.4
06-12-2011 0000,29,30.5
06-12-2011 0100,28.6,30.8
06-12-2011 0200,28.4,30.6
06-12-2011 0300,28.2,29.6
06-12-2011 0400,28,29.9
06-12-2011 0500,27.9,29.9
06-12-2011 0600,27.7,29.5
06-12-2011 0700,27.4,29
06-12-2011 0800,27.4,28.4
06-12-2011 0900,27.2,28.6
06-12-2011 1000,27.1,28.2
06-12-2011 1100,27,28.2
06-12-2011 1200,27.1,28.3
06-12-2011 1300,28,28.2
06-12-2011 1400,28.2,28.4
06-12-2011 1500,28.8,28.6
06-12-2011 1600,29,29
06-12-2011 1700,29.1,29.6
06-12-2011 1800,29.9,30.2
06-12-2011 1900,29.6,30.8
06-12-2011 2000,29.1,31.3
06-12-2011 2100,28.9,31.7
06-12-2011 2200,28.9,31.8
06-12-2011 2300,29.5,31.6
06-13-2011 0000,29.1,31
06-13-2011 0100,28.7,30.7
06-13-2011 0200,28.3,30.3
06-13-2011 0300,28.2,30
06-13-2011 0400,28.2,29.8
06-13-2011 0500,28,29.4
06-13-2011 0600,27.8,28.9
06-13-2011 0700,27.7,28.7
06-13-2011 0800,27.6,28.5
06-13-2011 0900,27.6,28.4
06-13-2011 1000,27.6,28
06-13-2011 1100,27.5,27.9
06-13-2011 1200,27.6,28.4
06-13-2011 1300,27.9,28
06-13-2011 1400,28.5,28.2
06-13-2011 1500,28.5,28.6
06-13-2011 1600,28.8,29
06-13-2011 1700,29,29.6
06-13-2011 1800,29.1,30.2
06-13-2011 1900,28.9,30.9
06-13-2011 2000,28.9,30.8
06-13-2011 2100,28.7,31.4
06-13-2011 2200,29.1,31.4
06-13-2011 2300,29.1,30.8
06-14-2011 0000,29,30.7
06-14-2011 0100,28.7,30.5
06-14-2011 0200,28.5,30.3
06-14-2011 0300,28.4,30.1
06-14-2011 0400,28.4,29.7
06-14-2011 0500,28.4,29.1
06-14-2011 0600,28.1,28.9
06-14-2011 0700,27.8,28.7
06-14-2011 0800,27.8,28.5
06-14-2011 0900,27.7,28.2
06-14-2011 1000,27.6,28
06-14-2011 1100,27.6,28.1
06-14-2011 1200,27.3,28
06-14-2011 1300,28.2,28
06-14-2011 1400,28.6,28.1
06-14-2011 1500,29.5,28.4
06-14-2011 1600,29.7,28.9
06-14-2011 1700,30.2,29.4
06-14-2011 1800,29.9,30.1
06-14-2011 1900,29.2,30.6
06-14-2011 2000,30,31
06-14-2011 2100,29.5,31.3
06-14-2011 2200,29.3,31.5
06-14-2011 2300,29.5,31.4
06-15-2011 0000,29.4,31.1
06-15-2011 0100,28.6,30.7
06-15-2011 0200,28.3,30.1
06-15-2011 0300,28.2,29.5
06-15-2011 0400,28.2,29.2
06-15-2011 0500,28.1,28.9
06-15-2011 0600,28,28.7
06-15-2011 0700,27.9,28.5
06-15-2011 0800,27.9,28.2
06-15-2011 0900,27.8,28
06-15-2011 1000,27.9,27.9
06-15-2011 1100,27.8,27.8
06-15-2011 1200,27.8,27.7
06-15-2011 1300,28.2,27.8
06-15-2011 1400,28.5,28
06-15-2011 1500,28.9,28.4
06-15-2011 1600,29.1,28.9
06-15-2011 1700,29.4,29.5
06-15-2011 1800,29.6,30.1
06-15-2011 1900,29.7,30.6
06-15-2011 2000,29.7,31
06-15-2011 2100,29.5,31.2
06-15-2011 2200,29.7,31.2
06-15-2011 2300,29.4,31.1
06-16-2011 0000,29,30.7
06-16-2011 0100,28.6,30.2
06-16-2011 0200,28.2,29.8
06-16-2011 0300,28.1,29.4
06-16-2011 0400,28.1,29.2
06-16-2011 0500,28.1,28.9
06-16-2011 0600,27.9,28.7
06-16-2011 0700,27.9,28.5
06-16-2011 0800,27.8,28.3
06-16-2011 0900,27.9,28.2
06-16-2011 1000,27.9,28.1
06-16-2011 1100,27.9,28
06-16-2011 1200,28,27.9
06-16-2011 1300,28.6,27.9
06-16-2011 1400,29.1,28.2
