dateAndTime,packeryATP_lighthouse,npsbiWTP_lighthouse
12-01-2013 0600,17.5,13.8
12-01-2013 0700,17.6,13.8
12-01-2013 0800,16.2,13.8
12-01-2013 0900,16,13.8
12-01-2013 1000,15.6,13.8
12-01-2013 1100,15.5,13.8
12-01-2013 1200,15.3,13.7
12-01-2013 1300,15.2,13.7
12-01-2013 1400,16.7,13.8
12-01-2013 1500,18.9,14
12-01-2013 1600,19,14.2
12-01-2013 1700,20.4,14.5
12-01-2013 1800,21.5,14.9
12-01-2013 1900,22.3,15.6
12-01-2013 2000,21.8,15.8
12-01-2013 2100,21.5,16.2
12-01-2013 2200,21.1,16.3
12-01-2013 2300,20,16.1
12-02-2013 0000,19,15.9
12-02-2013 0100,19.1,15.9
12-02-2013 0200,19.2,15.8
12-02-2013 0300,19,15.7
12-02-2013 0400,18.5,15.6
12-02-2013 0500,17.9,15.5
12-02-2013 0600,17.7,15.5
12-02-2013 0700,17.5,15.3
12-02-2013 0800,17.2,15.3
12-02-2013 0900,16.8,15.3
12-02-2013 1000,15.8,15.3
12-02-2013 1100,15.9,15.2
12-02-2013 1200,15.6,15.1
12-02-2013 1300,15.2,15.1
12-02-2013 1400,16.2,15.1
12-02-2013 1500,16.9,15.3
12-02-2013 1600,16.8,15.4
12-02-2013 1700,18.9,15.9
12-02-2013 1800,20.8,16
12-02-2013 1900,22.1,16.5
12-02-2013 2000,22.6,17.7
12-02-2013 2100,21.3,17.7
12-02-2013 2200,20.7,17.5
12-02-2013 2300,20.4,17.5
12-03-2013 0000,19.5,17.4
12-03-2013 0100,19.3,17.3
12-03-2013 0200,18.6,17.2
12-03-2013 0300,18.7,17.2
12-03-2013 0400,18.1,17.1
12-03-2013 0500,17.8,17
12-03-2013 0600,17.5,16.9
12-03-2013 0700,17.1,16.8
12-03-2013 0800,16.9,16.7
12-03-2013 0900,16.8,16.5
12-03-2013 1000,16.8,16.5
12-03-2013 1100,16.7,16.4
12-03-2013 1200,16.9,16.4
12-03-2013 1300,16.8,16.5
12-03-2013 1400,17.3,16.5
12-03-2013 1500,18.4,16.6
12-03-2013 1600,19.6,16.9
12-03-2013 1700,20.5,17.4
12-03-2013 1800,21.2,17.9
12-03-2013 1900,21.3,18.3
12-03-2013 2000,21.7,18.6
12-03-2013 2100,21.8,18.9
12-03-2013 2200,21.7,19
12-03-2013 2300,20.4,19
12-04-2013 0000,19.9,18.9
12-04-2013 0100,19.6,18.8
12-04-2013 0200,19.6,18.7
12-04-2013 0300,19.4,18.5
12-04-2013 0400,19,18.4
12-04-2013 0500,18.9,18.2
12-04-2013 0600,18.5,18.2
12-04-2013 0700,18.6,18.2
12-04-2013 0800,18.6,18.2
12-04-2013 0900,18.7,18.3
12-04-2013 1000,19.1,18.3
12-04-2013 1100,18.7,18.3
12-04-2013 1200,18.7,18.4
12-04-2013 1300,18.9,18.4
12-04-2013 1400,19,18.3
12-04-2013 1500,18.8,18.4
12-04-2013 1600,18.8,18.7
12-04-2013 1700,20.5,19
12-04-2013 1800,21.9,19.6
12-04-2013 1900,22.1,19.9
12-04-2013 2000,22.5,20.3
12-04-2013 2100,22.2,20.5
12-04-2013 2200,21.3,20.6
12-04-2013 2300,21.2,20.6
12-05-2013 0000,21,20.4
12-05-2013 0100,20.3,20.2
12-05-2013 0200,20.6,20
12-05-2013 0300,20.8,19.9
12-05-2013 0400,20.6,19.8
12-05-2013 0500,19.8,19.7
12-05-2013 0600,19.7,19.6
12-05-2013 0700,19.3,19.5
12-05-2013 0800,19.6,19.5
12-05-2013 0900,19.4,19.4
