dateAndTime,packeryATP_lighthouse,npsbiWTP_lighthouse
10-15-2024 1300,21.8,26.3
10-15-2024 1400,21.8,26.2
10-15-2024 1500,22.8,26.2
10-15-2024 1600,24.9,26.5
10-15-2024 1700,25.5,26.9
10-15-2024 1800,26.8,27.4
10-15-2024 1900,27.4,27.6
10-15-2024 2000,27.5,28.0
10-15-2024 2100,27.9,28.1
10-15-2024 2200,28.3,28.4
10-15-2024 2300,27.6,28.5
10-16-2024 0000,26.6,28.4
10-16-2024 0100,26.0,28.0
10-16-2024 0200,25.9,27.9
10-16-2024 0300,25.9,27.6
10-16-2024 0400,25.8,27.5
10-16-2024 0500,25.6,27.3
10-16-2024 0600,25.6,27.2
10-16-2024 0700,25.4,27.1
10-16-2024 0800,25.8,27.0
10-16-2024 0900,25.1,26.9
10-16-2024 1000,24.4,26.8
10-16-2024 1100,22.3,26.7
10-16-2024 1200,22.8,26.5
10-16-2024 1300,25.4,26.3
10-16-2024 1400,25.5,26.3
10-16-2024 1500,24.0,26.2
10-16-2024 1600,25.3,25.8
10-16-2024 1700,25.2,25.9
10-16-2024 1800,24.5,25.9
10-16-2024 1900,24.4,25.6
10-16-2024 2000,24.1,25.6
10-16-2024 2100,24.0,25.4
10-16-2024 2200,24.0,25.2
10-16-2024 2300,23.8,24.9
10-17-2024 0000,23.7,24.7
10-17-2024 0100,23.4,24.6
10-17-2024 0200,23.1,24.4
10-17-2024 0300,23.0,24.3
10-17-2024 0400,23.2,24.1
10-17-2024 0500,23.3,23.8
10-17-2024 0600,23.4,23.6
10-17-2024 0700,23.5,23.5
10-17-2024 0800,23.6,23.5
10-17-2024 0900,23.5,23.4
10-17-2024 1000,23.6,23.4
10-17-2024 1100,23.7,23.4
10-17-2024 1200,23.7,23.4
10-17-2024 1300,23.7,23.1
10-17-2024 1400,23.9,23.2
10-17-2024 1500,24.0,23.2
10-17-2024 1600,24.5,23.2
10-17-2024 1700,24.5,22.9
10-17-2024 1800,24.6,22.9
10-17-2024 1900,24.6,22.9
10-17-2024 2000,24.4,23.1
10-17-2024 2100,24.4,23.5
10-17-2024 2200,24.4,23.6
10-17-2024 2300,24.3,23.6
10-18-2024 0000,24.0,23.5
10-18-2024 0100,24.1,23.4
10-18-2024 0200,24.0,23.3
10-18-2024 0300,24.1,23.2
10-18-2024 0400,24.7,23.1
10-18-2024 0500,24.3,22.9
10-18-2024 0600,24.1,22.7
10-18-2024 0700,23.9,22.6
10-18-2024 0800,24.4,22.7
10-18-2024 0900,24.4,22.8
10-18-2024 1000,24.6,22.8
10-18-2024 1100,24.9,22.7
10-18-2024 1200,24.8,22.8
10-18-2024 1300,24.7,22.8
10-18-2024 1400,25.5,22.7
10-18-2024 1500,26.0,22.7
10-18-2024 1600,26.8,22.8
10-18-2024 1700,26.7,23.1
10-18-2024 1800,26.9,23.5
10-18-2024 1900,27.3,23.4
10-18-2024 2000,27.1,23.7
10-18-2024 2100,27.2,24.3
10-18-2024 2200,26.9,24.4
10-18-2024 2300,26.5,24.9
10-19-2024 0000,26.3,25.1
10-19-2024 0100,26.3,24.9
10-19-2024 0200,26.3,24.7
10-19-2024 0300,26.3,24.4
10-19-2024 0400,26.1,24.2
10-19-2024 0500,25.8,24.0
10-19-2024 0600,25.7,23.8
10-19-2024 0700,25.7,23.7
10-19-2024 0800,25.7,23.5
10-19-2024 0900,25.6,23.5
10-19-2024 1000,25.6,23.2
10-19-2024 1100,25.5,23.0
10-19-2024 1200,25.6,22.8
10-19-2024 1300,25.7,22.6
10-19-2024 1400,26.0,22.7
10-19-2024 1500,26.2,22.9
10-19-2024 1600,26.4,23.3
10-19-2024 1700,25.5,23.5
10-19-2024 1800,25.3,23.6
10-19-2024 1900,26.0,23.9
10-19-2024 2000,26.4,24.3
10-19-2024 2100,26.4,24.8
10-19-2024 2200,26.5,25.0
10-19-2024 2300,26.5,25.1
10-20-2024 0000,25.9,25.2
10-20-2024 0100,25.7,25.1
10-20-2024 0200,25.9,25.0
10-20-2024 0300,25.5,24.9
10-20-2024 0400,26.4,24.7
10-20-2024 0500,26.4,24.5
10-20-2024 0600,26.2,24.4
10-20-2024 0700,26.1,24.2
10-20-2024 0800,25.9,24.1
10-20-2024 0900,25.7,24.1
10-20-2024 1000,25.8,24.0
10-20-2024 1100,25.5,23.8
10-20-2024 1200,25.4,23.7
10-20-2024 1300,25.5,23.7
10-20-2024 1400,26.2,23.7
10-20-2024 1500,26.5,23.8
10-20-2024 1600,26.5,24.1
10-20-2024 1700,26.8,24.3
