run_num,model_type,lead_time,cycle,activation,num_layers,neurons,dropout,loss_value,val_mae,val_mae12,val_me,val_me12,val_mape,mae_2021,mae12_2021,me_2021,me12_2021,mape_2021,metrics,timestamp,status,duration_sec
3,MAPE,90,3,leaky_relu,3,16,0.05,44.700931549072266,8.88847541809082,10.852890968322754,6.7218699567676135,10.683522078839918,44.700931549072266,10.14404582977295,12.690299987792969,8.074346935708808,12.488872686175897,61.2137336730957,"{""loss"": 47.573509216308594, ""mape"": 47.573509216308594, ""mae"": 10.3468656539917, ""val_loss"": 44.700931549072266, ""val_mape"": 44.700931549072266, ""val_mae"": 8.88847541809082, ""lr"": 0.00010000000474974513, ""val_mae12"": 10.852890968322754, ""val_me"": 6.7218699567676135, ""val_me12"": 10.683522078839918, ""mape_2021"": 61.2137336730957, ""mae_2021"": 10.14404582977295, ""mae12_2021"": 12.690299987792969, ""me_2021"": 8.074346935708808, ""me12_2021"": 12.488872686175897, ""epochs_trained"": 118}",2026-07-21T02:27:48.873914,completed,13.6
3,MAPE,90,3,leaky_relu,3,16,0.1,4.1143670082092285,0.7819149494171143,1.7796354293823242,0.3980316136478004,1.4623275809018386,4.1143670082092285,1.0285872220993042,1.203434944152832,0.776469700944729,0.3455593358819733,5.810102939605713,"{""loss"": 12.626233100891113, ""mape"": 12.626233100891113, ""mae"": 2.933077573776245, ""val_loss"": 4.1143670082092285, ""val_mape"": 4.1143670082092285, ""val_mae"": 0.7819149494171143, ""lr"": 1.0000000656873453e-05, ""val_mae12"": 1.7796354293823242, ""val_me"": 0.3980316136478004, ""val_me12"": 1.4623275809018386, ""mape_2021"": 5.810102939605713, ""mae_2021"": 1.0285872220993042, ""mae12_2021"": 1.203434944152832, ""me_2021"": 0.776469700944729, ""me12_2021"": 0.3455593358819733, ""epochs_trained"": 640}",2026-07-21T02:28:13.286040,completed,38.0
3,MAPE,90,3,leaky_relu,3,32,0.05,3.5891995429992676,0.6772885322570801,1.4747235774993896,-0.02669409320174336,1.1277157259997108,3.5891995429992676,0.7693436741828918,1.0635895729064941,0.3582697672802564,0.20337384826999508,4.566806793212891,"{""loss"": 7.525733470916748, ""mape"": 7.525733470916748, ""mae"": 1.6869571208953857, ""val_loss"": 3.5891995429992676, ""val_mape"": 3.5891995429992676, ""val_mae"": 0.6772885322570801, ""lr"": 1.0000000656873453e-05, ""val_mae12"": 1.4747235774993896, ""val_me"": -0.02669409320174336, ""val_me12"": 1.1277157259997108, ""mape_2021"": 4.566806793212891, ""mae_2021"": 0.7693436741828918, ""mae12_2021"": 1.0635895729064941, ""me_2021"": 0.3582697672802564, ""me12_2021"": 0.20337384826999508, ""epochs_trained"": 619}",2026-07-21T02:28:21.482211,completed,33.4
3,MAPE,90,3,leaky_relu,3,32,0.1,3.404331922531128,0.6317927241325378,1.5189846754074097,-0.0778409941443247,1.1374342953133183,3.404331922531128,0.7308655381202698,0.9395859241485596,0.3562470567954431,-0.08287946467757841,4.23520040512085,"{""loss"": 8.737432479858398, ""mape"": 8.737432479858398, ""mae"": 1.984317660331726, ""val_loss"": 3.404331922531128, ""val_mape"": 3.404331922531128, ""val_mae"": 0.6317927241325378, ""lr"": 0.00010000000474974513, ""val_mae12"": 1.5189846754074097, ""val_me"": -0.0778409941443247, ""val_me12"": 1.1374342953133183, ""mape_2021"": 4.23520040512085, ""mae_2021"": 0.7308655381202698, ""mae12_2021"": 0.9395859241485596, ""me_2021"": 0.3562470567954431, ""me12_2021"": -0.08287946467757841, ""epochs_trained"": 609}",2026-07-21T02:28:21.856954,completed,33.0
3,MAPE,90,3,leaky_relu,3,32,0.0,4.115118503570557,0.7993737459182739,1.5102272033691406,-0.34913092460344947,1.0426775980617735,4.115118503570557,0.8115483522415161,0.9212142825126648,-0.018649977288119967,-0.08463774319759737,4.4514079093933105,"{""loss"": 3.615161657333374, ""mape"": 3.615161657333374, ""mae"": 0.7239917516708374, ""val_loss"": 4.115118503570557, ""val_mape"": 4.115118503570557, ""val_mae"": 0.7993737459182739, ""lr"": 0.00010000000474974513, ""val_mae12"": 1.5102272033691406, ""val_me"": -0.34913092460344947, ""val_me12"": 1.0426775980617735, ""mape_2021"": 4.4514079093933105, ""mae_2021"": 0.8115483522415161, ""mae12_2021"": 0.9212142825126648, ""me_2021"": -0.018649977288119967, ""me12_2021"": -0.08463774319759737, ""epochs_trained"": 768}",2026-07-21T02:28:24.714870,completed,37.4
3,MAPE,90,3,leaky_relu,3,32,0.3,10.200764656066895,1.92764151096344,3.057790517807007,1.162264664577159,2.2530438481154276,10.200764656066895,2.2962136268615723,2.4319825172424316,1.6134348319267384,0.4349240784662238,12.800373077392578,"{""loss"": 22.037662506103516, ""mape"": 22.037662506103516, ""mae"": 4.976787567138672, ""val_loss"": 10.200764656066895, ""val_mape"": 10.200764656066895, ""val_mae"": 1.92764151096344, ""lr"": 1.0000000656873453e-05, ""val_mae12"": 3.057790517807007, ""val_me"": 1.162264664577159, ""val_me12"": 2.2530438481154276, ""mape_2021"": 12.800373077392578, ""mae_2021"": 2.2962136268615723, ""mae12_2021"": 2.4319825172424316, ""me_2021"": 1.6134348319267384, ""me12_2021"": 0.4349240784662238, ""epochs_trained"": 1582}",2026-07-21T02:29:12.575360,completed,59.3
3,MAPE,90,3,leaky_relu,3,64,0.1,3.9190022945404053,0.7229493260383606,1.8023035526275635,-0.03466495475437672,1.496280406339555,3.9190022945404053,0.8074193000793457,1.5515272617340088,0.3386945372182695,0.06794223480732854,5.104489803314209,"{""loss"": 7.851759433746338, ""mape"": 7.851759433746338, ""mae"": 1.7397148609161377, ""val_loss"": 3.9190022945404053, ""val_mape"": 3.9190022945404053, ""val_mae"": 0.7229493260383606, ""lr"": 1.0000000656873453e-05, ""val_mae12"": 1.8023035526275635, ""val_me"": -0.03466495475437672, ""val_me12"": 1.496280406339555, ""mape_2021"": 5.104489803314209, ""mae_2021"": 0.8074193000793457, ""mae12_2021"": 1.5515272617340088, ""me_2021"": 0.3386945372182695, ""me12_2021"": 0.06794223480732854, ""epochs_trained"": 468}",2026-07-21T02:29:56.235921,completed,43.0
3,MAPE,90,3,leaky_relu,3,64,0.05,3.6939902305603027,0.7002372741699219,1.604012370109558,-0.16793615518852353,1.1957854922071498,3.6939902305603027,0.7476364374160767,1.0935239791870117,0.1875751660393035,0.12608183145915405,4.440708160400391,"{""loss"": 6.339423656463623, ""mape"": 6.339423656463623, ""mae"": 1.3737766742706299, ""val_loss"": 3.6939902305603027, ""val_mape"": 3.6939902305603027, ""val_mae"": 0.7002372741699219, ""lr"": 1.0000000656873453e-05, ""val_mae12"": 1.604012370109558, ""val_me"": -0.16793615518852353, ""val_me12"": 1.1957854922071498, ""mape_2021"": 4.440708160400391, ""mae_2021"": 0.7476364374160767, ""mae12_2021"": 1.0935239791870117, ""me_2021"": 0.1875751660393035, ""me12_2021"": 0.12608183145915405, ""epochs_trained"": 483}",2026-07-21T02:29:56.751948,completed,43.5
3,MAPE,90,3,leaky_relu,3,64,0.3,3.6187779903411865,0.6820104718208313,1.7686392068862915,0.09320138470916194,1.5338676022166922,3.6187779903411865,0.8471630811691284,1.027325987815857,0.5213308199065643,0.35238272324113873,4.755499362945557,"{""loss"": 11.1489839553833, ""mape"": 11.1489839553833, ""mae"": 2.5850894451141357, ""val_loss"": 3.6187779903411865, ""val_mape"": 3.6187779903411865, ""val_mae"": 0.6820104718208313, ""lr"": 0.00010000000474974513, ""val_mae12"": 1.7686392068862915, ""val_me"": 0.09320138470916194, ""val_me12"": 1.5338676022166922, ""mape_2021"": 4.755499362945557, ""mae_2021"": 0.8471630811691284, ""mae12_2021"": 1.027325987815857, ""me_2021"": 0.5213308199065643, ""me12_2021"": 0.35238272324113873, ""epochs_trained"": 488}",2026-07-21T02:29:56.931875,completed,43.7
3,MAPE,90,3,leaky_relu,3,64,0.0,3.8442842960357666,0.7531851530075073,1.4680583477020264,-0.31647175002421196,1.1308470681277512,3.8442842960357666,0.7902721166610718,0.9364012479782104,0.013374502102132707,-0.09862239108752935,4.509073257446289,"{""loss"": 3.2920491695404053, ""mape"": 3.2920491695404053, ""mae"": 0.6704487800598145, ""val_loss"": 3.8442842960357666, ""val_mape"": 3.8442842960357666, ""val_mae"": 0.7531851530075073, ""lr"": 1.0000000656873453e-05, ""val_mae12"": 1.4680583477020264, ""val_me"": -0.31647175002421196, ""val_me12"": 1.1308470681277512, ""mape_2021"": 4.509073257446289, ""mae_2021"": 0.7902721166610718, ""mae12_2021"": 0.9364012479782104, ""me_2021"": 0.013374502102132707, ""me12_2021"": -0.09862239108752935, ""epochs_trained"": 642}",2026-07-21T02:30:08.416336,completed,55.2
